start,openvpn_vpn,no_vpn,wireguard_vpn,ipsec_vpn
0.0,37.983,47.796,45.719,44.241
5.0,46.029,44.568,42.596,41.337
10.0,40.606,44.272,42.421,39.75
15.0,43.342,44.172,42.378,43.525
20.0,41.977,45.238,43.103,40.885
25.0,41.91,44.532,42.672,41.447
30.0,41.967,44.333,42.618,41.139
35.0,41.924,44.19,42.865,42.075
40.0,41.985,44.94,42.796,41.001
45.0,41.98,44.663,42.541,41.449
50.0,40.966,44.435,42.194,41.042
55.0,42.908,44.193,42.697,42.128
60.0,41.97,44.823,41.272,40.941
65.0,41.952,44.692,44.535,41.418
70.0,41.961,44.566,40.763,41.256
75.0,41.975,44.149,42.787,41.812
80.0,41.929,44.722,42.796,41.018
85.0,41.955,44.763,42.62,41.379
90.0,41.956,44.563,42.919,40.968
95.0,41.905,44.163,43.26,42.24
100.0,41.994,44.625,42.334,40.912
105.0,41.945,44.879,42.871,41.336
110.0,41.938,44.519,42.795,41.015
115.0,41.987,44.104,42.691,42.115
120.0,41.879,44.638,42.265,41.063
125.0,40.684,45.032,42.823,41.391
130.0,43.23,44.78,42.916,41.081
135.0,41.934,43.93,42.643,42.066
140.0,42.024,44.667,42.226,40.955
145.0,41.888,43.753,42.673,40.797
150.0,41.028,45.414,42.588,41.378
155.0,42.947,44.059,43.06,42.056
160.0,41.943,44.572,42.229,41.447
165.0,41.968,43.574,42.667,40.964
170.0,41.159,44.682,42.199,41.655
175.0,42.707,44.717,43.431,41.758
180.0,41.922,44.753,42.176,41.261
185.0,41.952,44.251,42.646,40.97
190.0,41.412,44.742,42.453,41.608
195.0,42.556,44.357,41.732,41.07
200.0,41.944,44.742,43.071,41.948
205.0,40.757,44.771,42.63,40.933
210.0,43.09,43.74,43.779,41.463
215.0,41.981,44.632,41.417,40.963
220.0,41.946,44.942,42.699,42.238
225.0,41.946,44.923,43.621,40.966
230.0,41.988,44.27,42.69,41.481
235.0,41.894,45.038,42.206,39.827
240.0,42.004,42.625,42.835,43.362
245.0,41.92,46.437,42.29,40.978
250.0,41.955,44.788,42.913,41.432
255.0,41.982,43.03,42.674,41.076
260.0,40.801,44.719,42.545,41.156
265.0,43.087,44.734,42.202,41.394
270.0,41.928,44.834,42.83,42.252
275.0,41.962,44.327,42.872,41.435
280.0,41.902,44.96,42.701,41.115
285.0,41.929,44.615,42.218,41.388
290.0,42.027,44.433,42.766,41.761
295.0,41.52,44.2,42.963,41.32
